question_id,domain,ll_T,ll_F,ll_Pf,dF,dPf,D,top1_T,top1_F,top1_Pf,affected_F,affected_Pf,hit_real_T,hit_placebo_T
-1011469,Engineering,382.94513544,382.94399406,382.94513544,-0.0011413799999786534,0.0,-0.0011413799999786534,n00000304,n00000304,n00000304,1,0,,
-1011467,Engineering,399.24444711,397.10886677,399.24444711,-2.13558033999999,0.0,-2.13558033999999,n00000037,n00000193,n00000037,1,0,2,
-1011433,Engineering,388.17172831,388.17172831,388.17172831,0.0,0.0,0.0,n00000193,n00000193,n00000193,0,0,,
-1011160,Engineering,411.80112702,411.80112702,411.80112702,0.0,0.0,0.0,n00000121,n00000121,n00000121,0,0,,
-1011107,Engineering,392.24780113,392.24780113,392.24780113,0.0,0.0,0.0,n00000155,n00000155,n00000155,0,0,,
-1011105,Engineering,387.64246312,387.64247643,387.64246312,1.3309999985722243e-05,0.0,1.3309999985722243e-05,n00000172,n00000172,n00000172,1,0,,
-1011103,Engineering,400.24652828,400.24652926,400.24652828,9.799999816095806e-07,0.0,9.799999816095806e-07,n00000064,n00000064,n00000064,1,0,,
-1011098,Engineering,408.29988673,408.29988673,408.29988673,0.0,0.0,0.0,n00000121,n00000121,n00000121,0,0,,
-1011094,Engineering,385.48172528,385.475439,385.48172528,-0.006286279999983435,0.0,-0.006286279999983435,n00000170,n00000170,n00000170,1,0,,
-1011091,Engineering,406.81774163,406.81774163,406.81774163,0.0,0.0,0.0,n00000121,n00000121,n00000121,0,0,,
-1011090,Engineering,411.65749776,411.65749776,411.65749776,0.0,0.0,0.0,n00000121,n00000121,n00000121,0,0,,
-1011079,Engineering,396.07246675,393.11040621,396.07246675,-2.9620605399999818,0.0,-2.9620605399999818,n00000037,n00000015,n00000037,1,0,2,
-1011077,Engineering,421.70306015,410.75400869,421.70306015,-10.949051460000021,0.0,-10.949051460000021,n00000037,n00000015,n00000037,1,0,2,
-1011075,Engineering,390.64815544,386.42203164,390.64815544,-4.226123799999982,0.0,-4.226123799999982,n00000191,n00000191,n00000191,1,0,,
-1010984,Philosophy,381.30140053,381.30140053,381.30140053,0.0,0.0,0.0,n00000105,n00000105,n00000105,0,0,,
-1010911,Philosophy,387.38451512,387.38451512,387.38451512,0.0,0.0,0.0,n00000142,n00000142,n00000142,0,0,,
-1010786,Philosophy,392.74236319,392.74236319,392.74236319,0.0,0.0,0.0,n00000142,n00000142,n00000142,0,0,,
-1010765,Philosophy,395.92853082,395.92853082,395.92853082,0.0,0.0,0.0,n00000143,n00000143,n00000143,0,0,,
-1010735,Philosophy,387.04446135,387.04446135,387.04446135,0.0,0.0,0.0,n00000128,n00000128,n00000128,0,0,,
-1010608,Philosophy,385.76497535,385.76497539,385.7649754,4.000003173132427e-08,5.000003966415534e-08,-1.0000007932831068e-08,n00000128,n00000128,n00000128,1,1,,
-1010008,Physics,378.83684791,378.83498004,378.73546423,-0.0018678700000123172,-0.10138368000002629,0.09951581000001397,n00000173,n00000173,n00000173,1,1,,
-1009967,Physics,404.44494766,404.44494766,404.44494766,0.0,0.0,0.0,n00000064,n00000064,n00000064,0,0,,
